batch,seq_len,head_dim,num_heads,tasklets,host_ms,dpu_ms,allocated,exp_type
128,32,,,,79.106,32.414,2048,EXP_SEQ
128,48,,,,153.184,72.28,2048,EXP_SEQ
128,64,,,,249.145,127.917,2048,EXP_SEQ
128,80,,,,405.761,199.329,2048,EXP_SEQ
128,96,,,,561.3,286.512,2048,EXP_SEQ
128,112,,,,757.996,389.468,2048,EXP_SEQ
128,128,,,,949.402,508.189,2048,EXP_SEQ
32,128,,,,246.563,508.236,512,EXP_BATCH
48,128,,,,340.168,508.205,768,EXP_BATCH
64,128,,,,497.064,508.245,1024,EXP_BATCH
80,128,,,,609.322,508.224,1280,EXP_BATCH
96,128,,,,724.003,508.206,1536,EXP_BATCH
112,128,,,,854.585,508.197,1792,EXP_BATCH
128,128,,,,946.79,508.189,2048,EXP_BATCH
128,32,16,,,75.646,32.413,2048,EXP_HEAD
128,32,24,,,101.806,45.674,2048,EXP_HEAD
128,32,32,,,165.85,58.923,2048,EXP_HEAD
128,32,40,,,169.244,72.185,2048,EXP_HEAD
128,32,48,,,179.271,85.44,2048,EXP_HEAD
128,32,56,,,193.019,98.696,2048,EXP_HEAD
128,32,64,,,244.326,111.946,2048,EXP_HEAD
64,32,,12,,93.081,111.949,768,EXP_NH
64,32,,16,,138.858,111.956,1024,EXP_NH
64,32,,20,,168.093,111.954,1280,EXP_NH
64,32,,24,,199.368,111.95,1536,EXP_NH
64,32,,28,,204.079,111.947,1792,EXP_NH
64,32,,32,,261.433,111.946,2048,EXP_NH
128,64,32,16,4,454.87,232.566,2048,EXP_TL
128,64,32,16,8,444.798,232.566,2048,EXP_TL
128,64,32,16,12,445.043,232.565,2048,EXP_TL
128,64,32,16,16,443.446,232.565,2048,EXP_TL
128,64,32,16,20,443.763,232.565,2048,EXP_TL
128,64,32,16,24,442.238,232.565,2048,EXP_TL
