batch,seq_len,head_dim,num_heads,tasklets,host_ms,dpu_ms,allocated,exp_type
128,32,,,,78.054,32.414,2048,EXP_SEQ
128,48,,,,153.009,72.28,2048,EXP_SEQ
128,64,,,,252.567,127.917,2048,EXP_SEQ
128,80,,,,404.598,199.329,2048,EXP_SEQ
128,96,,,,565.551,286.511,2048,EXP_SEQ
128,112,,,,757.757,389.466,2048,EXP_SEQ
128,128,,,,941.34,508.188,2048,EXP_SEQ
32,128,,,,245.423,508.236,512,EXP_BATCH
48,128,,,,341.388,508.205,768,EXP_BATCH
64,128,,,,496.527,508.247,1024,EXP_BATCH
80,128,,,,605.528,508.224,1280,EXP_BATCH
96,128,,,,726.379,508.209,1536,EXP_BATCH
112,128,,,,845.629,508.198,1792,EXP_BATCH
128,128,,,,937.434,508.19,2048,EXP_BATCH
128,32,16,,,77.302,32.413,2048,EXP_HD
128,32,24,,,118.055,45.674,2048,EXP_HD
128,32,32,,,164.467,58.923,2048,EXP_HD
128,32,40,,,167.798,72.185,2048,EXP_HD
128,32,48,,,180.724,85.44,2048,EXP_HD
128,32,56,,,193.656,98.696,2048,EXP_HD
128,32,64,,,233.472,111.946,2048,EXP_HD
64,32,,12,,95.477,111.949,768,EXP_NH
64,32,,16,,135.552,111.958,1024,EXP_NH
64,32,,20,,170.032,111.953,1280,EXP_NH
64,32,,24,,200.31,111.949,1536,EXP_NH
64,32,,28,,204.448,111.947,1792,EXP_NH
64,32,,32,,262.637,111.946,2048,EXP_NH
128,64,32,16,4,443.805,232.565,2048,EXP_TL
128,64,32,16,8,446.681,232.565,2048,EXP_TL
128,64,32,16,12,445.117,232.565,2048,EXP_TL
128,64,32,16,16,447.325,232.565,2048,EXP_TL
128,64,32,16,20,444.689,232.565,2048,EXP_TL
128,64,32,16,24,543.496,232.566,2048,EXP_TL
